Sr. No.,DC No.,DC Date,Branch,BCCD Name,Product Description,Product Sr. No.,Date of Purchase,Complaint No.,Part Code,Defect,Visiting Tech Name,Mfg Month/Year,Repair Date,"Defect Age (Years, Months, Days)",PCB Sr. No.,RF Observation,Testing,Failure,Analysis,Component Consumption,Status,Send Date,Engg. Name,Tag Entry By,Consumption Entry
20,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/CON1 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/CON1,OK,,PP,NileshK,AmitG
21,RC2527000514,,NA,KALABHYRAVESHWARA ENTERPRISES,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,2501438774,971065,NOT WORKING,NA,23-12-2025,2025-11-11 00:00:00,,NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
22,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,24-01-2025,2025-11-11 00:00:00,"0 years, 9 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
23,RC2527000514,,JAIPUR,KHUSHI ENTERPRISES,DISPLAY PCB ASSLY SPLENDID 140 TS,N30402455633,NA,JAIPUR26042501943409,971065,NOT WORKING,NA,24-04-2025,2025-11-11 00:00:00,"0 years, 6 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
24,RC2527000514,,MUMBAI,OM SAI ELECTRICAL,DISPLAY PCB ASSLY SPLENDID 140 TS,N304102332124,45300,1729300,971065,Dead,NA,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
25,RC2527000514,,JAIPUR,KHUSHI ENTERPRISES,DISPLAY PCB ASSLY SPLENDID 140 TS,N30410237463,NA,JAIR0352502010136,971065,NOT WORKING,NA,24-04-2025,2025-11-11 00:00:00,"0 years, 6 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
26,RC2527000514,,LUCKNOW,COMPUTECH,DISPLAY PCB ASSLY SPLENDID 140 TS,M36422410027,30/05/2025,22807671,971065,NOT WORKING,NA,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12/LED,OK,,PP,NileshK,AmitG
27,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
28,RC2527000514,,LUCKNOW,ARYAN SOLUTION,DISPLAY PCB ASSLY SPLENDID 140 TS,N304022586447,NA,280052502255682,971065,NOT WORKING,RAKESH,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
29,RC2527000514,,VARANASI,SS TELECOM,DISPLAY PCB ASSLY SPLENDID 140 TS,M304102324263,45299,2329942,971065,Dead,AJAY,24-09-2025,2025-11-11 00:00:00,"0 years, 1 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
30,RC2527000514,,LUCKNOW,OJAS ENTERPRISES,DISPLAY PCB ASSLY SPLENDID 140 TS,N304102319350,18/07/2024,LUCW02062502306669,971065,NOT WORKING,NA,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K11/K12/LED/LED FAULTY,K1/K2/K3/K4/K5/K11/K12/LED/LED,OK,,PP,NileshK,AmitG
31,RC2527000514,,AGRA,SUMAN COMMUNICATION,DISPLAY PCB ASSLY SPLENDID 140 TS,N304102341021,NA,AGRA20052502166312,971065,Dead,PANKAJ,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K6/K8/K10/K12/LED/CON1 FAULTY,K1/K2/K3/K6/K8/K10/K12/LED/CON1,OK,,PP,NileshK,AmitG
32,RC2527000514,,GORAKHPUR,ARPIT ELECTRICAL,DISPLAY PCB ASSLY SPLENDID 140 TS,N304102315719,NA,GORR05062502333731,971065,NOT WORKING,GAUTAM,24-02-2025,,,NA,NA,Pass,Found OK,NA,,NFF,,PP,NileshK,AmitG
33,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,24-05-2025,2025-11-11 00:00:00,"0 years, 5 months",NA,NA,Fail,Not Working,K2/K5/K6/K8/K9/K10/LED FAULTY,K2/K5/K6/K8/K9/K10/LED,OK,,PP,NileshK,AmitG
34,RC2527000514,,AGRA,SUMAN COMMUNICATION,DISPLAY PCB ASSLY SPLENDID 140 TS,N304082475396,NA,971065,971065,Dead,GOURAV,23-12-2025,2025-11-11 00:00:00,,NA,NA,Fail,Not Working,K1/K4/K5/K6/K7/K8/LED/LED/CON1 FAULTY,K1/K4/K5/K6/K7/K8/LED/LED/CON1,OK,,PP,NileshK,AmitG
35,RC2527000514,,GORAKHPUR,ARPIT ELECTRICAL,DISPLAY PCB ASSLY SPLENDID 140 TS,GORR2608250223062,NA,971068,971065,NOT WORKING,GAUTAM KUMAR,23-12-2025,2025-11-11 00:00:00,,NA,NA,Fail,Not Working,K1/K4/K6/K7/K8/K9/K10 FAULTY,K1/K4/K6/K7/K8/K9/K10,OK,,PP,NileshK,AmitG
36,RC2527000514,,MUMBAI,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,M304042444718,15/07/2024,1847614,971065,NOT WORKING,NA,24-04-2025,2025-11-11 00:00:00,"0 years, 6 months",NA,NA,Fail,Not Working,K2/K3/K5/K6/K7/K8/K9/K12 FAULTY,K2/K3/K5/K6/K7/K8/K9/K12,OK,,PP,NileshK,AmitG
37,RC2527000514,,GORAKHPUR,ARPIT ELECTRICAL,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,45782,505250202340,971065,NOT WORKING,NA,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
38,RC2527000514,,NA,NA,DISPLAY PCB ASSLY SPLENDID 140 TS,NA,NA,NA,971065,NA,NA,24-02-2025,2025-11-11 00:00:00,"0 years, 8 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K10 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K10,OK,,PP,NileshK,AmitG
39,RC2527000514,,LUCKNOW,SA ENTERPRISES,DISPLAY PCB ASSLY SPLENDID 140 TS,M03112429853,NA,LUCW1905250216089,971065,Dead,NA,25-03-2025,2025-11-11 00:00:00,"0 years, 7 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
40,RC2527000514,,THANE,JEEVAN ENTERPRISE,DISPLAY PCB ASSLY SPLENDID 140 TS,M304102323452,NA,THAE28032501683140,971065,NOT WORKING,RITESH,23-10-2025,2025-11-11 00:00:00,"0 years, 0 months",NA,NA,Fail,Not Working,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12 FAULTY,K1/K2/K3/K4/K5/K6/K7/K8/K9/K10/K11/K12,OK,,PP,NileshK,AmitG
41,RC2527000514,,THANE,SAI ELECTRICAL,DISPLAY PCB ASSLY SPLENDID 140 TS,5416102302227,NA,1626599,971065,Dead,DILIP,23-12-2025,2025-11-11 00:00:00,,NA,NA,Fail,Not Working,K1/K4/K5/K6/K7/K8/K10/K12/LED/LED/LED/CON1 FAULTY,K1/K4/K5/K6/K7/K8/K10/K12/LED/LED/LED/CON1,OK,,PP,NileshK,AmitG
42,RC2527000514,,NASHIK,PANKAJ ELECTRICAL,DISPLAY PCB ASSLY SPLENDID 140 TS,N304082477465,30/01/2025,THAE24042501925089,971065,Dead,AKSHAY DHAGE,23-12-2025,,,NA,NA,Pass,Found OK,NA,,NFF,,PP,NileshK,AmitG
